NumChoix,Critere,Espece,Notes,Image
1,Espèce capable de volvation ,,,Images/1.jpg
2,Espèce incapable de volvation ,,,Images/2.jpg
11,"Uropodes allongés et en pointe dépassant nettement de la bordure du pléon (Figure 4), cinq paires de pseudotrachées, granulations quasiment invisibles sauf de très près, aspect rappelant un Porcellio en plus bombé. ",[b]Cylisticus convexus[/b],"Habitats variés, semble peu commun dans la région",Images/11.jpg
12,"Uropodes très courts et rectangulaires, ne dépassant pas ou peu de la bordure du pléon",,,Images/12.jpg
121,"Lame frontale saillante et fine, coloration claire et translucide marquée d’une bande sombre centrale et de deux bandes sombres surmontant l’extrémité des péréionites et des pléonites. Les individus ont tendance à s’assombrir avec l’âge.",Armadillidium nasatum,"Habitats variés, espèce commune",Images/121.jpg
122,"Lame frontale saillante et large, existe en deux colorations principales, totalement gris sombre ou avec des bandes plus claires sur les flancs, présente parfois des taches jaune pâle, aspect légèrement aplati",Armadillidium depressum,"Normalement côtière, les observations faites dans la région résultent d’introduction",Images/122.jpg
123,Lame frontale peu ou pas saillante,,,Images/123.jpg
1231,"Espèce très colorée et contrastée, bord des péréionites brun-rouge contrastant nettement avec le reste, présence de nombreuses taches jaune pâle donnant un aspect marbré",Armadillidium pictum,"Boisements frais et âgés, semble rare dans la région",Images/1231.jpg
1232,"Espèce à coloration variable, bord de péréionites d’une autre couleur ne contrastant pas avec le reste",,,
12321,"Présence de deux petites bosses à l’avant de la tête (critère mieux visible de face) (Figure 12); motifs assez mal définis allant du gris uni au marbré de rouille avec, parfois avec une fine ponctuation jaune pâle",Armadillidium opacum,"Boisements frais et âgés, visiblement rare dans la région",Images/12321.jpg
12322,"Pas de petites bosses à l’avant de la tête, coloration très variable",Armadillidium vulgare,"Habitats variés, espèce commune",Images/12322.jpg
21,Très gros yeux composés de très nombreux ocelles,Ligidium hypnorum,"Habitats à forte humidité ambiante, généralement proches de l’eau, le plus souvent en bord de mare ou de ruisseau",Images/21.jpg
22,Yeux nettement plus petits,,,Images/22.jpg
